date,commuters_per_home_user_percent,inter_region_mobility_percent,distinct_users_with_contacts_percent,total_edges_per_distinct_user_percent,distinct_edges_per_distinct_user_percent
2020-01-01,0.163588102104719,1.428769131308527,0.8040638425754774,0.9974950095815852,0.6654113766306238
2020-01-02,0.7672901478093054,0.9620282800416624,0.962820060520396,1.0396792989105328,0.9226224177788732
2020-01-03,0.7478259375985942,0.8021906878203796,0.9389120393749542,1.1829203891486983,0.9291343990618234
2020-01-04,0.6980598785712573,0.7798607862328967,0.91532873321984,0.9902817962311132,0.952238272523535
2020-01-05,0.6815883649952047,0.8448780218033506,0.9423330797442876,0.9863940197735912,0.9628101886692858
2020-01-06,0.7385967182069089,0.9689905093445508,0.9961585335646675,0.9191202445152948,0.985600989696817
2020-01-07,0.829335124829776,0.9559598168005408,1.004391315587515,1.0504304223372252,1.0286419522508825
2020-01-08,0.8113347952643772,0.8825736782629197,0.9856533022598613,1.2287013919815657,1.0606746498058426
2020-01-09,0.813834812926074,0.8761542771115153,0.9971837496556478,1.137223438935127,1.0356045244729108
2020-01-10,0.8340489178784706,0.8109669367121493,0.9660653349794414,1.0612016189951556,0.9814844255122764
2020-01-11,0.7625505755965307,0.8152001202944923,0.982462538458491,0.9695960972871428,0.9767194320215836
2020-01-12,0.729682363667031,0.9310045646819451,0.984888823735392,0.8441858885752451,0.954084974799318
2020-01-13,0.6741012632109905,1.0148743703586032,1.0122043464998292,1.3300426614176786,1.1158809443765396
2020-01-14,0.7649149900073287,0.9479343236281516,1.018442719292169,1.3085482148957532,1.108854583624702
2020-01-15,0.7433247923577264,0.9663735414012928,1.0094714036152623,1.3776855116637134,1.1387790190459737
2020-01-16,0.7397973735493015,0.933897322753614,1.0028973463010422,1.2752479932866416,1.096763576663719
2020-01-17,0.7483590358651995,0.9708701425457136,1.0152667724132136,1.1269586559371838,1.013329683670444
2020-01-18,0.7404800276043213,0.7612681776669405,0.9167497204526952,0.957963863686812,0.9284256302454552
2020-01-19,0.7149646244841946,0.8355293605604297,0.9272466776756556,1.222969689025135,0.9975215048546524
2020-01-20,0.3947707444680618,1.5866220776944755,1.0228471861725017,1.139711775741427,0.9511286450473
2020-01-21,0.8572774469782098,0.9969894371689318,1.0170613501240149,1.195794692284755,1.0782879937938428
2020-01-22,0.8419616568128653,0.9150592135443628,0.9966297090914126,1.189430616207684,1.0778891502451404
2020-01-23,0.8462246046860397,0.8942810464382795,1.012498560081995,1.051410269128607,1.0328677537902762
2020-01-24,0.8647865460140945,0.8512551720991294,0.996996505136696,1.0237397659174643,1.0029906190512254
2020-01-25,0.8174913574165721,0.7594632458807716,0.9466985204502574,0.8757929168290098,0.8861607305333736
2020-01-26,0.8091890586161101,0.8861960369526135,0.9884297562838844,0.9467295476511912,0.96563443245706
2020-01-27,0.8019912390676125,1.003994250246926,1.0028573299333292,0.9816181961252622,1.0001709213815095
2020-01-28,0.9106528051846798,0.8972611113721779,0.9987959499727252,1.1396774028147645,1.0294031801850838
2020-01-29,0.8861478915823269,0.90737078709686,0.991149513123336,1.0923124357933642,1.0345190830574382
2020-01-30,0.8910398207306258,0.9114795005693622,1.010090463054476,1.1647687040431882,1.063876620687462
2020-01-31,0.9145886181564706,0.8181274674264767,0.9958545845491792,1.0475009577605028,0.9993299582498898
2020-02-01,0.8730431915845497,0.7322967038384632,0.966635828574943,0.9865457556263216,0.9814207702191208
2020-02-02,0.8422107152421249,0.760297772189701,0.9318505069311994,0.8529108478268638,0.8710661338905653
2020-02-03,0.8290823999041164,0.996005749753074,0.9971426700666708,1.0183818038747376,0.9998290786184906
2020-02-04,0.948889248298056,0.9086683159408414,1.0121988030968443,1.2478478711863614,1.0774710006089916
2020-02-05,0.9234008024075128,0.876493582291587,1.001450141394914,1.160023318003316,1.0557551157163614
2020-02-06,0.8611479566897737,0.8236018915541391,0.925311256842776,0.9443476624238012,0.9454588684879028
2020-02-07,0.943012638116136,0.7782971686348978,0.9619752222314482,1.1126428697302504,1.0058516773055777
2020-02-08,0.929809727999267,0.7690750972393855,0.99229100425109,1.155954594749124,1.116531154703914
2020-02-09,0.9231404090548598,0.8404506969944698,0.9933099766132696,1.325773283693913,1.200096198074239
2020-02-10,0.907689294237352,0.963426288588918,1.005656924005908,1.0593544376290758,1.0474464759091722
2020-02-11,0.9985484065795304,0.9357506738946296,1.0058798590940905,0.9217111465830392,0.9955850307507714
2020-02-12,1.0049334458916388,1.002347331361625,1.0166020377768832,1.0402561690427206,1.0429810353642197
2020-02-13,0.9593575081561394,0.987984063955625,0.985852776344443,1.0064553453889755,1.0026340574519876
2020-02-14,1.0108064047535217,1.1147512502621222,1.050036805334683,0.9271842469344012,1.0083296130121722
2020-02-15,0.9056172087132468,1.1652676814710023,1.0034226612593884,0.9978540948851212,0.9829476764169248
2020-02-16,0.918005881227336,1.1595493030055304,1.0066900233867304,1.073630012773368,1.05292860044802
2020-02-17,0.4908239112474776,1.8365202039666089,1.0377858136327334,0.9374623739909752,0.9276742155393226
2020-02-18,0.7911027228986609,1.3567898316993228,0.9739410522052044,0.8427317086845671,0.8940376635667752
2020-02-19,0.7995537517492678,1.3883789905099082,1.0074003454817502,0.8674313951639151,0.9224998815783424
2020-02-20,0.7990166549046718,1.3329093986046148,1.0123772952673395,0.8118964630671419,0.8999285452186416
2020-02-21,0.7934004233776637,1.238823512774529,0.9951116586853742,0.8809082550200149,0.8872652802781023
2020-02-22,0.9585867659777838,1.19727710407638,1.0042863344895214,0.9274536492494738,0.9375045513489254
