days,MSE,MSE-exog,MAE,MAE-exog
1,2.788588675461205,1.1657272368059852,1.1695991802680674,0.6862507698969269
7,5.3456473476998925,3.6688217614454643,1.6842429590053283,1.3760224676490402
14,6.166636934012137,3.6350907381123196,1.8251592478137932,1.3934323325234834
21,7.627438221053979,4.343464444774164,2.075049597642705,1.5271205654385773
