days,MSE,MSE-exog,MAE,MAE-exog
1,7.397826583140453,4.011493331408769,1.8086427930753757,1.194302089456075
7,11.630740457577561,7.346260612070498,2.4081289137556,1.8904068544163153
14,15.91158582837944,9.424507149640155,2.822906499851565,2.1378168850491384
21,19.106270248155237,12.002945328930702,3.117911293412412,2.441717953442138
