days,MSE,MSE-exog,MAE,MAE-exog
1,5.610606971625634,2.5995624335979386,1.6595860019444384,1.0795560609943198
7,9.578793022425021,6.10941847534978,2.1748961090124572,1.6965484504516308
14,17.400528409934346,7.318234445129728,2.8920066316096618,1.851650915184767
21,21.925117408690298,7.768636564795226,3.142618852239282,1.910802365044114
