days,MSE,MSE-exog,MAE,MAE-exog
1,6.845383810380922,3.853552291197986,1.6185927169434051,1.1200813770419398
7,10.051933728710722,7.863069263715042,2.166635723059567,1.9151434068482083
14,15.366282948566733,10.761196912286936,2.6716404489582732,2.1346905130728984
21,22.408116588167527,15.566092055390076,3.2026539507439553,2.529970212972804
